run_ID	index_comments	query_comments	query_id	total_obtenidos	total_relevantes	relevantes_obtenidos	top_r_precision_cant	precision	recall	r_precision	f_Measure	
[1] tp1	default	title+desc ; no filter 	OHSU1	40595	6	5	6	0.0001231678778174652	0.8333333333333334	0.3333333333333333	0.0002462993522327036	
[1] tp1	default	title+desc ; no filter 	OHSU2	49162	11	9	11	0.00018306822342459622	0.8181818181818182	0.36363636363636365	0.0003660545421267769	
[1] tp1	default	title+desc ; no filter 	OHSU3	41823	23	12	23	0.0002869234631662004	0.5217391304347826	0.4782608695652174	0.0005735315203364718	
[1] tp1	default	title+desc ; no filter 	OHSU4	49719	13	12	13	0.0002413564230978097	0.9230769230769231	0.7692307692307693	0.00048258666452183704	
[1] tp1	default	title+desc ; no filter 	OHSU5	26242	6	3	6	0.00011432055483575947	0.5	0.3333333333333333	0.00022858884486437063	
[1] tp1	default	title+desc ; no filter 	OHSU6	43605	6	2	6	0.000045866299736268775	0.3333333333333333	0	0.00009171997890440485	
[1] tp1	default	title+desc ; no filter 	OHSU7	33060	7	4	7	0.00012099213551119177	0.5714285714285714	0.42857142857142855	0.000241933045029788	
[1] tp1	default	title+desc ; no filter 	OHSU8	48125	8	4	8	0.00008311688311688311	0.5	0.25	0.00016620613716161468	
[1] tp1	default	title+desc ; no filter 	OHSU9	31792	10	10	10	0.00031454453950679415	1	0.8	0.0006288912647003333	
[1] tp1	default	title+desc ; no filter 	OHSU10	44021	7	3	7	0.00006814929238318075	0.42857142857142855	0.2857142857142857	0.00013627691469065138	
[1] tp1	default	title+desc ; no filter 	OHSU11	38254	18	5	18	0.00013070528572175458	0.2777777777777778	0.2777777777777778	0.0002612876254180602	
[1] tp1	default	title+desc ; no filter 	OHSU12	45480	6	6	6	0.00013192612137203166	1	0.8333333333333334	0.00026381743833267377	
[1] tp1	default	title+desc ; no filter 	OHSU13	36531	21	7	21	0.00019161807779693958	0.3333333333333333	0.2857142857142857	0.00038301597723790757	
[1] tp1	default	title+desc ; no filter 	OHSU14	48848	8	7	8	0.00014330167048804454	0.875	0.75	0.0002865564106762731	
[1] tp1	default	title+desc ; no filter 	OHSU15	48260	6	6	6	0.00012432656444260256	1	0.6666666666666666	0.00024862221853893005	
[1] tp1	default	title+desc ; no filter 	OHSU16	39042	13	5	13	0.00012806720967163568	0.38461538461538464	0.15384615384615385	0.0002560491614389963	
[1] tp1	default	title+desc ; no filter 	OHSU17	47040	4	3	4	0.00006377551020408164	0.75	0.5	0.00012754017515517388	
[1] tp1	default	title+desc ; no filter 	OHSU18	45326	18	5	18	0.00011031196222918413	0.2777777777777778	0.2777777777777778	0.00022053634438955538	
[1] tp1	default	title+desc ; no filter 	OHSU19	815	7	1	7	0.001226993865030675	0.14285714285714285	0.14285714285714285	0.0024330900243309003	
[1] tp1	default	title+desc ; no filter 	OHSU20	7890	7	5	7	0.0006337135614702154	0.7142857142857143	0.5714285714285714	0.0012663036596175761	
[1] tp1	default	title+desc ; no filter 	OHSU21	46428	21	9	21	0.00019384853967433445	0.42857142857142855	0.42857142857142855	0.00038752179810114316	
[1] tp1	default	title+desc ; no filter 	OHSU22	50655	6	1	6	0.000019741387819563714	0.16666666666666666	0	0.0000394780995242889	
[1] tp1	default	title+desc ; no filter 	OHSU23	37654	12	11	12	0.0002921336378605195	0.9166666666666666	0.5833333333333334	0.000584081134179366	
[1] tp1	default	title+desc ; no filter 	OHSU24	38845	12	10	12	0.00025743338911056766	0.8333333333333334	0.5	0.0005147077746609363	
[1] tp1	default	title+desc ; no filter 	OHSU25	43242	5	0	5	0	0	0	�	
[1] tp1	default	title+desc ; no filter 	OHSU26	43553	6	5	6	0.00011480265423736597	0.8333333333333334	0.8333333333333334	0.000229573681673133	
[1] tp1	default	title+desc ; no filter 	OHSU27	48306	2	2	2	0.00004140272429925889	1	0.5	0.00008280202036929701	
[1] tp1	default	title+desc ; no filter 	OHSU28	48696	13	6	13	0.0001232134056185313	0.46153846153846156	0.38461538461538464	0.00024636104210720814	
[1] tp1	default	title+desc ; no filter 	OHSU29	46089	21	18	21	0.0003905487209529389	0.8571428571428571	0.8571428571428571	0.0007807417046193885	
[1] tp1	default	title+desc ; no filter 	OHSU30	46395	17	7	17	0.00015087832740597046	0.4117647058823529	0.23529411764705882	0.00030164612600189607	
[1] tp1	default	title+desc ; no filter 	OHSU31	45190	19	2	19	0.00004425757911042266	0.10526315789473684	0.10526315789473684	0.00008847795792873101	
[1] tp1	default	title+desc ; no filter 	OHSU32	45499	18	3	18	0.00006593551506626519	0.16666666666666666	0.16666666666666666	0.00013181888085770152	
